#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77658    -3.77658           0
           2    -3.77571    -3.77615  0.00030605
           3    -3.77817    -3.77682 0.000587733
           4    -3.77639    -3.77671 0.000450509
           5    -3.77558    -3.77649  0.00041334
           6    -3.77515    -3.77627 0.000399891
           7    -3.77634    -3.77628 0.000342907
           8    -3.77866    -3.77657 0.000409786
           9    -3.77679     -3.7766 0.000364974
          10    -3.77739    -3.77668 0.000337053
          11    -3.77758    -3.77676 0.000316214
          12    -3.77656    -3.77674 0.000290319
          13     -3.7776    -3.77681 0.000275356
          14    -3.77739    -3.77685 0.000258838
          15    -3.77638    -3.77682 0.000243494
          16    -3.77545    -3.77673 0.000242783
          17    -3.77664    -3.77673  0.00022857
          18    -3.77717    -3.77675 0.000217176
          19    -3.77694    -3.77676 0.000205961
          20    -3.77562    -3.77671 0.000203428
          21    -3.77368    -3.77656 0.000239451
          22     -3.7779    -3.77662 0.000236218
          23    -3.77649    -3.77662 0.000226022
          24    -3.77702    -3.77663 0.000217224
          25    -3.77723    -3.77666 0.000209826
          26    -3.77593    -3.77663 0.000203625
          27    -3.77706    -3.77664 0.000196711
          28    -3.77708    -3.77666 0.000190301
          29    -3.77449    -3.77659 0.000197923
          30    -3.77696     -3.7766 0.000191712
